"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"Campina das Miss�es","4303707","-27.988800000000","-54.841700000000","130","125","100","100","100","80","80","28","30","30","30","30","24","35","45","40","40","45","50","30","30","3","3","3","3","6","6","6","6","6","4","-","3","3","-","-","2","2","2","2","2","2","2","2","1","-","-","-"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","490","480","480","500","500","-","500","166","160","180","185","185","190","220","120","45","45","0","30","30","30","30","16","16","30","20","20","6","6","6","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","60","60","42","60","45","37","20","15","25","18","10","10","7","2","32","32","47","47","120","49","66","66","10","-","-","135","135","97","97","-","200","200","160","120","120","120","120","40","35","35","40","40","-","-","-","-","-","-"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","200","150","200","200","200","180","500","181","185","165","185","185","185","210","225","230","230","75","130","105","106","105","52","25","25","25","25","25","25","25","25","25","10","3","3","-","-","2","6","4","2","-","-","-","-","-","-","-"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","40","30","513","30","30","60","36","50","50","50","20","20","20","20","15","-","10","10","8","5","5","2","2","-","-","-","-","-","-","-","-","-"
"Candel�ria","4304200","-29.668399999990","-52.789499999990","4.795","5.126","5.911","7.400","6.050","4.514","5.500","6.375","7.000","7.475","8.000","8.000","3.060","8.200","8.200","8.200","7.800","7.450","9.000","7.100","5.850","6.120","5.820","6.120","6.470","7.120","7.270","7.700","7.955","8.450","8.400","7.540","8.200","8.100","8.000","8.300","7.806","8.500","8.165","8.525","8.650","8.750","8.745","8.700","8.700","7.500","6.801","6.620"
"C�ndido God�i","4304309","-27.951499999990","-54.751700000000","65","65","50","50","50","50","60","45","45","45","45","55","60","30","31","31","31","31","30","35","35","25","5","30","30","5","5","5","5","9","3","3","9","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Candiota","4304358","-31.551500000000","-53.677300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","600","600","600","785","620","1.030","1.450","1.364","850","1.250","932","1.155","1.332","900","900","900","1.100","1.100","1.189","650","753","800","700","602","890","440","1.100","900","245"
"Canela","4304408","-29.356000000000","-50.811900000000","75","75","70","75","72","70","75","10","10","10","15","15","15","15","15","15","15","15","15","15","15","15","-","15","3","3","5","5","3","3","4","5","5","5","2","1","-","2","-","-","-","-","-","-","-","-","-","-"
"Cangu�u","4304507","-31.396000000000","-52.678199999990","448","790","1.021","1.700","1.700","259","2.200","649","649","800","800","700","700","700","3.000","2.798","560","565","565","1.210","1.210","1.710","1.710","1.510","1.510","1.210","1.210","1.210","1.210","1.230","1.240","750","750","750","780","890","890","825","890","775","740","1.200","760","900","738","750","337","743"
"Canoas","4304606","-29.912800000000","-51.185699999990","341","520","1.679","1.800","2.000","1.206","1.850","1.392","1.392","1.320","1.470","1.500","1.460","1.800","1.900","1.500","980","910","720","574","480","480","480","480","480","480","480","480","480","480","480","480","800","800","800","800","800","800","450","400","200","200","200","400","600","600","600","600"
"Canudos do Vale","4304614","-29.318700000000","-52.234499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","10","10","5","3","3","3","3","3","3","2","2","-","-","-","-","-","-","-","-"
"Cap�o Bonito do Sul","4304622","-29.764199999990","-50.028199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o da Canoa","4304630","-29.639700000000","-49.959899999990","...","...","...","...","...","...","...","...","...","45","75","85","85","300","300","300","280","250","250","250","250","250","250","250","250","150","150","150","150","150","450","450","450","450","300","300","300","150","-","-","-","5","48","48","150","150","-","-"
"Cap�o do Cip�","4304655","-28.904000000000","-54.700000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","100","50","50","70","45","30","30","23","7","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o do Le�o","4304663","-31.756499999990","-52.488900000000","...","...","...","...","...","...","...","...","...","4.133","4.133","4.133","4.133","5.600","5.000","5.000","5.000","5.000","8.000","8.000","8.000","8.000","7.190","8.000","8.015","8.020","6.810","8.520","8.520","8.525","8.525","7.155","7.025","7.025","8.181","8.012","6.997","7.977","6.622","7.392","7.319","7.249","6.464","7.259","6.597","6.386","6.167","6.702"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","705","1.400","1.400","1.400","1.400","1.400","1.400","650","1.400","1.300","750","750","750","750","750","750","750","950","950","950","950","950","950","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.850","1.850","1.850"
"Capit�o","4304697","-29.267399999990","-51.985300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","10","4","10","5","5","5","5","1","1","1","2","2","2","2","1","1","1","1","1","-","-","-","-","-","-","-","-"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6.120","7.000","11.115","11.125","11.125","11.125","11.493","15.517","15.748","12.310","12.610","12.611","12.263","14.519","14.744","13.271","15.243","15.078","15.200","14.980","14.684","11.902","11.168","9.664","10.203"
"Cara�","4304713","-29.786899999990","-50.431600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","700","180","180","180","180","180","180","270","234","234","234","140","150","150","156","167","167","190","272","272","272","272","272","272","272"
"Carazinho","4304705","-28.295800000000","-52.793300000000","126","100","130","100","100","250","190","564","570","400","400","500","400","508","408","375","358","2","513","338","300","300","137","300","300","150","100","50","10","10","5","5","5","5","5","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","45","90","135","250","245","250","240","180","180","55","65","68","35","30","30","28","29","30","31","34","35","35","30","16","10","10","8","8","8","8","8","8","8","6","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","50","50","27","17","17","17","17","17","17","17","17","-","5","5","5","5","2","5","5","5","2","2","2","2","2","3","2","2"
"Casca","4304903","-28.560500000000","-51.981499999990","272","330","140","103","120","100","128","434","425","203","253","253","303","303","303","284","283","22","283","146","77","75","29","30","30","30","30","30","30","30","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caseiros","4304952","-28.258199999990","-51.686100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","120","130","130","130","130","130","130","64","26","26","26","26","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Catu�pe","4305009","-28.255400000000","-54.013199999990","160","200","160","250","250","250","240","159","210","140","140","140","150","70","60","60","70","70","175","200","300","100","100","450","200","200","200","350","330","80","45","15","15","10","5","4","4","4","-","-","-","-","-","-","-","-","-","-"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","500","300","330","350","350","400","400","150","95","50","50","50","120","80","80","80","80","80","50","50","20","20","8","20","20","15","10","3","3","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Centen�rio","4305116","-27.761600000000","-51.998399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","145","145","145","100","80","30","70","70","50","50","50","45","-","5","5","5","5","3","5","5","5","5","8","5","5","5","5","6","6"
"Cerrito","4305124","-31.841899999990","-52.800400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","600","400","800","800","800","800","800","840","600","700","700","555","1.061","1.166","1.242","1.007","935","688","724","225","286","238","206","155","246"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","670","670","420","640","1.080","1.080","1.080","1.080","1.070","1.070","1.070","1.070","1.170","926","926","926","820","930","930","900","950","905","1.050","936","936","940","950","1.000","1.000","1.150","1.050","1.050","1.050"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","78","80","90","90","90","90","22","54","40","40","40","40","40","40","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-","-","-"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","706","706","706","706","706","656","656","608","656","596","756","756","681","756","606","654","745","745","745","745","745","745","745","745","745","745","745","745","704","704","600","550","660"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","60","58","55","60","70","60","80","58","55","55","70","100","100","150","144","120","120","120","150","35","10","10","8","-","5","8","8","5","0","-","0","5","5","5","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"Chapada","4305306","-28.055900000000","-53.066499999990","250","200","250","260","300","300","300","362","360","300","300","300","300","300","500","200","200","200","200","180","200","200","50","200","200","100","100","100","80","80","80","80","80","80","80","80","15","8","5","5","5","5","2","2","2","2","1","-"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","...","...","...","...","...","...","...","...","...","90","200","250","348","450","300","350","300","300","300","300","330","300","2.600","2.600","2.600","3.100","3.750","2.850","-","3.200","2.850","3.000","3.100","3.100","3.200","4.000","4.000","4.400","4.300","4.552","4.800","4.800","5.100","4.674","4.960","3.902","3.700","3.900"
"Charrua","4305371","-27.949300000000","-52.015000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","25","25","35","25","15","15","15","15","15","15","15","-","20","20","10","10","10","10","5","5","3","-","-","-","-","-","-","-"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","40","30","30","60","60","50","50","50","50","153","280","290","250","440","350","90","130","60","70","140","280","330","250","330","290","270","270","320","120","70","70","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Chu�","4305439","-33.686599999990","-53.459400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.954","3.130","2.298","2.268","2.989","2.000","2.500","2.876","3.000","2.344","3.741","3.505","3.785","3.665","4.028","3.004","3.161","4.000","3.422","4.121","3.343","3.044","3.326","3.009","3.135"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","-","3","3","3","-","-","-","-","-","-","-","-","-","2","2","3","3","8","10","6","4","6","6"
"Cidreira","4305454","-30.160399999990","-50.233800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.020","970","770","650","1.420","1.450","1.434","1.200","520","584","505","505","450","450","450","464","449","789","939","939","1.114","718","1.181","1.072","1.082","1.072","1.100","1.060","1.060","1.380","1.250","1.236","1.513"
"Cir�aco","4305504","-28.341899999990","-51.874099999990","162","246","95","292","292","200","160","324","310","130","130","130","130","155","130","123","113","150","150","105","105","105","49","105","73","60","60","60","60","60","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colinas","4305587","-29.381499999990","-51.852600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","3","3","-","3","3","3","3","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colorado","4305603","-28.525800000000","-52.992800000000","190","150","170","150","80","80","60","60","65","70","220","70","50","30","35","35","35","0","33","30","30","30","9","15","20","12","12","12","8","8","8","8","8","8","8","4","2","2","-","-","-","-","-","-","-","-","-","-"
"Condor","4305702","-28.207500000000","-53.490499999990","350","350","350","350","150","200","155","148","172","106","180","130","150","140","50","70","50","0","50","50","50","50","93","50","50","50","50","50","35","20","10","10","10","10","10","3","1","1","2","-","-","-","-","-","-","-","-","-"
"Constantina","4305801","-27.731999999990","-52.993800000000","600","348","550","600","310","30","175","230","230","190","190","190","300","200","100","80","130","130","130","104","104","104","64","50","20","30","20","15","15","15","10","10","5","5","5","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","5","5","5","-","5","5","5","3","3","3","3","3","-","-","-","-","-","-","-","-"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","79","100","100","116","40","40","25","25","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","5","10","10","10","10","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","530","250","300","300","150","-","220","250","270","270","220","220","220","530","380","360","360","360","200","200","240","240","110","270","270","270","270","270","270","270","270","270","270","350","350","350","70","10","5","-","-","-","-","-","-","-","-","-"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","0","-","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"Cotipor�","4305959","-28.989100000000","-51.697099999990","...","...","...","...","...","...","...","...","...","108","19","19","19","15","14","14","14","14","14","14","12","12","12","12","12","6","6","6","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coxilha","4305975","-28.128000000000","-52.302300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","80","80","96","30","10","10","10","10","10","5","5","4","4","4","4","4","2","2","-","-","-","-","-","-","-","-","-","-"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","150","150","130","150","150","270","300","204","204","30","200","200","200","200","170","170","170","170","170","40","40","30","32","26","26","26","26","26","26","26","26","-","5","5","5","5","1","3","-","-","-","-","-","-","-","-","-","-"
"Cristal","4306056","-31.004600000000","-52.043599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.105","3.105","3.100","3.710","4.510","5.415","5.920","5.400","4.016","4.020","5.110","5.110","5.040","5.020","4.520","5.020","5.540","5.655","5.005","5.005","7.210","7.010","7.050","6.030","5.550","5.500","5.580","4.848","5.000","4.731","5.000","5.080","5.080"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","20","20","20","20","20","20","20","20","20","20","18","5","3","1","-","-","-","1","-","-","-","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","700","300","300","300","300","200","200","342","350","500","510","510","430","450","420","427","520","520","520","520","520","520","241","240","90","156","220","135","130","50","180","130","80","80","60","30","-","-","-","-","-","-","-","-","-","-","-","-"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","4","4","3","-","3","3","3","3","3","3","3","3","3","3","-","-","-","-","-","-"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","500","138","347","200","100","183","230","285","325","375","300","370","475","475","515","515","465","465","485","325","325","480","410","440","440","440","440","440","490","570","705","700","710","710","710","710","760","760","605","780","780","780","775","672","672","632","652","672"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","216","133","120","86","100","120","125","122","115","110","110","110","110","130","100","70","30","0","30","30","30","30","28","30","30","10","10","7","7","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","35","35","35","17","35","25","25","25","15","15","15","5","5","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","170","140","140","60","60","60","60","134","60","60","90","90","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.000","2.600","3.500","3.900","3.900","2.260","2.270","2.530","2.120","2.110","2.100","3.400","3.400","3.300","3.400","3.060","3.280","3.280","2.700","2.000","2.000","2.700","2.500","2.500","2.700"
"Dois Irm�os","4306403","-29.583600000000","-51.089799999990","200","200","180","200","200","40","250","545","545","500","450","450","300","400","280","130","130","130","130","15","15","15","5","5","5","5","3","3","3","2","2","-","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-","-"
"Dois Irm�os das Miss�es","4306429","-27.662099999990","-53.530400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","88","58","55","65","65","55","55","55","55","22","22","22","22","22","22","22","22","1","-","-","-","-","-","-","-","-","-","-","-"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","85","85","0","85","45","45","45","35","30","30","30","30","30","25","25","25","25","15","15","5","-","-","-","-","-","-","-","-","1","-","-","-","-"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","79","7","150","150","300","321","370","330","330","330","330","330","200","200","200","198","198","210","190","190","190","190","120","140","130","150","140","140","150","150","100","100","90","50","50","85","50","55","55","55","55","55","55","35","35","30","30","30"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","13.694","17.295","23.947","20.000","23.200","21.400","25.500","22.150","24.000","22.520","25.000","25.000","24.000","26.000","26.000","21.400","5.500","24.000","27.000","34.318","34.500","34.500","35.000","28.000","36.000","40.000","34.000","43.000","43.500","43.000","45.000","43.250","43.900","27.600","46.600","46.600","42.400","50.350","32.800","40.870","45.650","47.366","45.836","46.873","44.990","38.923","35.841","30.291"
"Dom Pedro de Alc�ntara","4306551","-29.363900000000","-49.853000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","48","48","48","203","203","353","353","278","278","165","275","275","275","275","227","226","120","50","50","50","80","80","100","100","100"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","419","563","687","685","685","529","700","921","1.100","1.045","1.100","1.100","1.100","1.400","1.450","1.650","1.650","1.700","1.750","1.750","2.000","2.100","2.100","2.200","2.170","2.250","2.270","2.270","2.270","2.270","2.290","2.300","2.300","2.350","2.350","2.350","2.350","2.350","2.350","2.350","2.350","2.350","2.280","2.350","2.350","2.350","2.350","2.350"
"Doutor Maur�cio Cardoso","4306734","-27.510300000000","-54.357799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","22","13","13","38","35","35","50","24","50","50","50","50","50","50","50","10","1","5","2","2","2","2","2","2","2","2","2","2","2","2","2","-","-"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","5","5","5","5","5","5","5","1","5","5","5","3","3","2","1","1","2","3","-","-","-","-","-","-"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6.509","6.488","5.908","6.008","6.008","6.761","6.761","4.875","5.500","5.700","5.700","4.721","4.721","6.600","6.600","7.659","8.800","8.745","8.644","8.405","9.340","9.667","10.901","10.372","10.552","11.600","11.781","11.616","11.616","11.616","11.583","11.386","11.386"
"Encantado","4306809","-29.235099999990","-51.870300000000","200","350","190","200","100","-","15","164","164","140","130","130","140","140","140","101","70","80","80","81","81","40","10","2","2","-","-","-","-","-","-","-","2","2","2","2","2","2","2","2","2","-","-","-","-","-","-","-"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","680","728","943","1.360","1.330","677","1.100","2.355","1.700","1.825","2.000","1.700","1.800","1.750","1.750","1.312","1.400","1.100","1.400","1.400","1.100","1.000","1.100","1.000","1.100","1.510","1.505","1.505","1.515","1.520","1.550","1.150","1.050","1.050","1.050","1.510","1.510","1.560","1.560","1.500","1.500","1.570","1.500","1.500","1.500","1.350","700","1.034"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","26","26","26","36","10","10","5","5","5","5","5","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","74","74","0","50","50","50","20","31","31","20","31","31","31","25","15","5","-","3","3","3","3","1","1","-","-","-","-","-","-","-","-","-","-"
"Entre-iju�s","4306932","-28.368600000000","-54.268599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","147","150","10","220","220","220","220","70","120","120","60","40","40","40","40","12","-","12","12","12","12","12","12","-","-","-","-","-","-","-","-","-","-"
"Erebango","4306973","-27.854399999990","-52.300500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","65","65","25","65","55","55","55","20","35","35","20","20","20","20","20","10","5","10","10","10","10","10","10","10","10","5","3","4","2","4","2","2","2"
"Erechim","4307005","-27.636399999990","-52.269700000000","1.650","1.500","927","1.300","1.000","900","1.000","712","715","800","800","820","820","800","800","687","670","70","550","440","440","440","48","44","170","40","20","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ernestina","4307054","-28.497699999990","-52.583599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","81","81","8","81","80","80","80","27","15","15","30","30","26","26","10","5","-","3","2","2","3","3","4","-","-","-","-","-","-","-","-","-","-"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","250","260","280","300","280","-","100","150","150","150","160","165","170","170","160","160","160","128","150","150","150","100","78","78","20","20","20","15","10","10","10","-","10","7","7","5","1","2","2","2","2","2","2","2","2","2","4","4"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","110","300","350","122","-","-","600","600","568","570","575","550","550","550","550","415","365","315","310","175","175","175","95","175","175","175","175","175","175","125","125","125","65","65","65","65","22","-","-","-","-","-","-","-","-","-","-","-"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","25","30","30","30","30","20","20","18","20","20","20","20","30","30","40","40","40","40","40","40","40","45","132","43","43","43","43","20","20","8","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esperan�a do Sul","4307450","-27.360299999990","-53.989100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","14","14","10","10","10","10","10","10","-","3","3","-","1","1","-","1","-","-","-","-","-","-","-","-","-"
"Espumoso","4307500","-28.728600000000","-52.846100000000","150","70","150","500","200","300","350","450","500","418","90","50","56","56","50","20","20","10","42","42","35","40","139","55","55","25","23","20","17","17","17","17","10","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-"
"Esta��o","4307559","-27.913499999990","-52.263500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","36","30","0","20","20","20","10","10","10","10","10","10","10","5","5","1","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Est�ncia Velha","4307609","-29.653500000000","-51.184300000000","-","-","-","-","-","-","-","3","4","4","4","4","3","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
