"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","75","150","150","150","-","75","125","72","45","432","430","270","230","310","225","100","420","150","140","80","88","88","13","54","36","10","5","10","9","12","12","6","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"�urea","4301552","-27.693600000000","-52.050500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","648","648","0","540","198","198","198","102","102","45","60","50","31","5","10","6","-","9","10","30","30","30","45","9","30","15","15","12","7","8","-","-","-"
"Bag�","4301602","-31.329699999990","-54.099899999990","8.113","14.865","32.814","50.000","56.400","44.014","67.500","59.670","67.500","47.655","90.000","73.100","76.500","83.250","85.000","63.000","9.800","67.500","85.000","86.400","81.000","99.000","109.220","85.000","96.950","131.149","99.018","72.000","72.812","60.500","90.407","82.280","71.876","30.745","67.496","90.228","90.228","113.580","57.105","85.369","75.000","75.000","82.013","86.558","76.860","65.860","61.898","75.039"
"Balne�rio Pinhal","4301636","-30.241900000000","-50.233600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.668","2.576","1.925","1.867","1.479","1.586","1.479","1.657","1.761","1.881","1.432","1.482","1.485","963","189","-","2.995","2.915","2.295","2.295","3.397","3.762","3.468","3.360","3.594"
"Bar�o","4301651","-29.372500000000","-51.494900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","156","159","25","178","171","126","126","101","22","22","22","22","22","22","22","10","8","8","8","8","8","8","8","8","8","8","5","5","5","5","2","1","1"
"Bar�o de Cotegipe","4301701","-27.620799999990","-52.379800000000","732","1.440","1.047","1.225","450","-","240","246","150","360","300","189","160","120","54","216","144","28","144","138","138","173","85","85","144","85","85","79","55","66","46","33","56","88","79","16","36","27","9","15","8","5","-","-","-","-","-","-"
"Bar�o do Triunfo","4301750","-30.389099999990","-51.738399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","675","675","675","600","1.000","1.000","1.250","1.250","1.125","840","800","1.000","960","750","750","495","700","1.000","1.540","2.170","1.860","1.860","1.860","1.685","2.066","1.620","1.860","1.860","2.015"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","21","21","40","18","40","40","20","20","22","22","22","22","22","4","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Barra do Quara�","4301875","-30.202900000000","-57.549700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","113.900","95.040","148.280","104.591","123.520","133.114","113.740","144.996","136.500","190.997","149.310","172.715","170.987","166.108","178.450","175.205","175.046","186.750","213.288","185.041","212.121","204.795","176.498","201.773","238.582"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","14.400","14.515","16.225","15.400","15.653","11.474","15.005","25.051","24.800","19.040","25.800","29.250","35.250","40.000","40.000","40.000","31.500","39.900","30.100","34.300","22.750","32.500","46.463","27.625","26.240","39.520","46.110","37.400","51.442","51.442","65.728","46.852","69.600","84.772","85.932","89.914","93.174","101.948","96.768","89.128","89.702","90.992","88.446","96.658","92.750","88.182","99.638","103.291"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","51","51","51","51","15","61","15","12","15","10","15","8","-","18","18","18","12","4","4","2","2","2","-","-","-","-","-","-","-"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","25","25","18","22","21","22","22","22","22","22","18","5","9","9","9","6","-","-","-","-","-","-","-","-","-","3","2","3"
"Barrac�o","4301800","-27.673900000000","-51.458599999990","180","400","400","520","112","15","312","243","246","525","540","450","300","360","432","450","525","57","570","570","150","150","80","240","240","240","200","210","210","60","30","6","30","25","13","8","5","6","-","-","-","-","-","-","-","-","-","-"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","30","250","250","500","150","120","200","360","160","240","540","800","280","252","202","588","560","84","420","100","169","228","104","94","104","100","100","120","120","120","80","8","120","120","60","60","60","60","50","50","30","30","-","-","-","-","-","-"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","12","3","7","7","3","7","3","-","8","11","12","16","6","6","1","2","2","2","1","1","2","1","-","-"
"Bento Gon�alves","4302105","-29.166200000000","-51.516500000000","98","98","150","220","161","98","264","108","60","163","300","280","84","195","145","150","168","-","140","143","70","63","3","11","11","3","3","2","2","3","3","3","3","3","3","3","3","3","3","3","2","1","1","-","1","-","-","-"
"Boa Vista das Miss�es","4302154","-27.667100000000","-53.310200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","100","100","36","100","50","50","50","50","50","50","50","40","50","50","50","50","19","19","8","8","8","3","15","15","15","15","9","9"
"Boa Vista do Buric�","4302204","-27.669300000000","-54.108199999990","90","180","180","180","81","27","135","72","48","50","72","72","50","66","44","99","24","18","13","6","6","4","2","3","3","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","180","142","240","60","-","75","63","63","63","15","15","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Incra","4302238","-28.809200000000","-53.387400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","47","47","47","30","4","34","34","34","34","36","34","10","-","-","-","-","-","-","-","-","-"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","-","-","-","-","-","-","-","-","-"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","-","-","-","-","-","-","-","4","5","5","5","5","5","8","8","8","8","5","6","5","5","5","-","4","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Princ�pio","4302352","-29.485600000000","-51.354799999990","...","...","...","...","...","...","...","...","...","296","140","175","119","112","84","24","44","44","57","57","57","66","30","66","66","38","38","38","38","38","0","-","-","-","-","8","8","8","8","8","8","8","18","26","10","13","14","30"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","48","48","53","18","50","41","44","44","19","19","18","23","23","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","690","320","1.044","1.148","1.650","206","900","375","360","420","75","135","105","195","218","277","247","161","160","115","115","282","156","600","19","-","-","-","-","79","96","72","43","60","114","60","43","56","345","255","190","221","204","221","238","221","111","215"
"Boqueir�o do Le�o","4302451","-29.304600000000","-52.428400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","135","150","0","150","150","156","156","100","60","60","60","60","60","50","60","40","8","50","50","30","30","30","36","18","18","18","12","18","9","9","9","7","9"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1.224","1.300","957","1.800","2.000","1.800","3.260","645","1.385","1.644","1.529","1.333","900","1.210","1.201","530","531","1.068","818","881","706","1.406","1.125","1.400","1.406","2.025","3.240","1.200","1.200","190","643","881","248","304","497","662","626","-","-","-","-","-","-","-","-","-","-","-"
"Bozano","4302584","-28.367460000000","-53.772239999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","25","30","15","4","25","25","13","12","12","13","10","-","-","-","-","-","-","-","-","-"
"Braga","4302600","-27.617300000000","-53.740499999990","45","81","81","90","33","-","160","160","60","120","108","48","15","140","78","195","195","78","152","408","408","408","46","399","399","336","336","46","49","44","44","20","20","20","10","10","6","-","-","-","-","-","-","-","-","-","-","-"
"Brochier","4302659","-29.550100000000","-51.594499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","370","30","30","45","24","24","24","18","35","25","25","25","5","5","5","5","3","10","10","10","10","10","10","10","10","10","10","5","5","3","3","7","3"
"Buti�","4302709","-30.117899999990","-51.960099999990","5.649","7.401","8.024","13.588","13.850","5.263","7.800","9.880","9.620","9.183","14.175","13.760","14.850","13.650","12.000","17.500","15.165","14.154","12.000","5.370","4.512","3.600","2.880","3.000","3.000","5.500","4.620","5.053","5.760","4.500","5.450","3.500","6.000","7.750","7.750","10.350","6.500","10.725","7.560","7.860","7.500","8.125","7.710","5.200","7.567","8.760","1.200","7.200"
"Ca�apava do Sul","4302808","-30.514399999990","-53.482700000000","7.074","7.079","10.389","9.002","7.700","6.242","14.000","12.600","12.000","5.311","8.487","10.545","2.500","3.500","12.520","16.815","16.815","14.265","15.600","19.257","16.000","24.040","19.410","22.540","16.690","24.790","16.537","20.350","17.820","12.000","21.835","22.313","18.810","18.810","23.750","26.000","26.000","28.596","22.500","27.705","27.360","28.980","27.000","24.700","23.400","21.886","21.704","23.991"
"Cacequi","4302907","-29.888300000000","-54.822000000000","22.507","28.296","27.667","40.800","24.700","24.097","36.850","41.076","44.400","24.074","49.200","44.000","28.446","47.300","47.410","69.184","57.000","67.200","70.950","74.250","73.440","76.800","56.250","54.000","33.750","87.500","78.750","76.800","76.000","71.400","79.900","84.992","96.000","96.000","110.550","100.650","68.800","118.575","97.020","99.000","111.200","115.500","81.159","94.976","97.652","68.760","80.323","94.656"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","71.500","81.902","86.467","87.720","61.900","67.344","81.000","102.900","93.340","70.262","114.980","112.730","65.675","138.750","142.575","156.400","115.680","139.500","132.480","149.036","118.030","151.780","139.677","137.588","100.696","177.316","170.437","183.854","199.257","152.075","224.780","247.462","248.899","252.132","265.954","271.427","157.361","289.501","245.011","236.738","217.230","234.750","201.039","212.316","221.144","173.166","181.518","211.694"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","274","45","226","189","200","39","48","266","270","280","1.400","920","202","139","225","99","86","90","78","104","92","92","61","63","63","63","-","-","-","-","-","-","-","-","-","-","-","-","-","-","...","...","...","...","...","...","...","..."
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","100","240","250","300","60","10","118","207","180","120","120","120","180","180","240","225","225","61","225","180","180","180","42","200","200","200","200","20","20","20","20","20","10","10","10","10","2","-","10","-","-","-","-","-","-","-","-","-"
"Caibat�","4303301","-28.290500000000","-54.645400000000","571","1.000","578","629","544","360","543","87","306","342","318","275","280","620","602","565","561","450","875","1.230","930","1.280","1.375","1.655","1.010","992","1.012","1.208","1.105","1.008","424","249","323","323","358","300","-","-","-","300","250","225","200","240","240","160","300","300"
"Cai�ara","4303400","-27.279100000000","-53.425699999990","50","344","100","344","-","-","100","220","90","122","154","145","145","174","109","169","390","0","370","455","455","455","-","455","455","455","455","455","455","455","455","455","455","455","455","15","15","15","15","15","15","15","15","36","12","15","15","15"
"Camaqu�","4303509","-30.848900000000","-51.804299999990","82.500","100.156","101.767","102.025","103.609","76.438","104.002","125.854","128.802","110.547","144.000","144.012","148.508","148.520","156.750","145.983","90.034","125.015","131.905","140.018","114.768","140.303","132.000","112.344","96.024","143.024","152.904","138.780","167.460","156.600","201.368","179.888","171.112","178.191","185.520","219.068","182.569","225.245","238.275","240.720","249.657","258.965","253.875","278.598","235.116","213.048","242.158","292.592"
"Camargo","4303558","-28.588000000000","-52.200299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","36","0","30","30","30","30","27","22","26","26","7","8","8","11","8","-","12","12","12","8","4","-","-","-","-","-","-","-","-","-","-","-"
"Cambar� do Sul","4303608","-29.047400000000","-50.146500000000","18","32","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","23","23","-","30","30","30","30","20","10","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campina das Miss�es","4303707","-27.988800000000","-54.841700000000","135","250","200","200","100","32","120","39","30","45","45","54","36","53","45","60","60","27","75","45","45","5","5","5","5","9","9","9","9","15","4","-","6","8","-","-","4","4","2","4","4","4","4","4","2","-","-","-"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","588","1.152","1.104","1.175","600","-","600","143","115","216","222","185","228","198","72","72","90","0","66","54","60","60","24","24","75","40","40","12","9","9","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","84","84","84","84","54","34","27","18","26","21","17","24","14","2","80","164","203","181","600","220","118","198","10","-","-","607","810","534","194","-","1.400","1.500","1.200","900","900","960","960","240","210","280","320","320","-","-","-","-","-","-"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","180","360","360","360","162","18","900","325","215","198","296","241","167","415","271","493","533","175","522","474","384","384","144","56","56","56","56","56","56","56","56","50","29","5","5","-","-","9","27","18","9","-","-","-","-","-","-","-"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","75","72","9","1.239","54","54","126","54","40","105","105","30","48","41","48","6","-","20","22","20","12","13","5","5","-","-","-","-","-","-","-","-","-"
"Candel�ria","4304200","-29.668399999990","-52.789499999990","15.583","14.797","18.570","25.900","21.650","14.597","21.700","25.175","26.700","25.710","30.600","30.600","10.560","33.900","33.720","38.700","24.790","29.645","32.165","29.930","20.593","26.580","22.980","28.980","28.755","39.380","36.645","34.380","40.226","37.350","45.400","33.774","48.616","47.443","53.130","56.058","42.567","64.693","49.493","62.877","51.935","63.875","61.215","62.710","67.860","56.138","52.089","56.806"
"C�ndido God�i","4304309","-27.951499999990","-54.751700000000","70","130","100","100","50","25","90","102","45","68","90","110","72","54","35","50","50","10","75","87","81","51","8","54","54","8","8","14","10","22","5","2","14","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Candiota","4304358","-31.551500000000","-53.677300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.000","2.400","2.400","3.984","3.100","5.150","8.497","7.502","5.100","6.008","4.479","7.491","7.262","5.436","5.436","5.436","7.858","7.858","9.269","4.836","5.873","5.200","4.550","3.913","6.453","3.080","8.250","6.750","1.664"
"Canela","4304408","-29.356000000000","-50.811900000000","112","112","98","113","108","84","113","15","15","10","15","15","9","9","9","9","9","12","12","15","18","18","-","18","3","4","6","8","5","5","5","1","6","6","2","1","-","2","-","-","-","-","-","-","-","-","-","-"
"Cangu�u","4304507","-31.396000000000","-52.678199999990","1.477","3.057","3.388","6.800","6.800","601","7.735","2.921","2.921","3.600","3.600","3.150","3.150","3.150","15.000","13.846","2.620","2.630","2.630","6.625","6.025","8.525","8.525","7.525","7.525","6.625","6.625","6.625","6.625","6.105","6.140","3.880","4.716","4.187","4.802","7.402","5.239","7.084","6.857","6.496","5.698","9.360","5.559","6.867","5.535","5.812","2.524","6.394"
"Canoas","4304606","-29.912800000000","-51.185699999990","989","1.846","6.472","9.360","8.000","2.422","7.400","4.207","4.732","4.487","6.486","7.125","6.862","9.450","7.980","8.250","4.606","5.915","3.744","2.938","2.400","2.400","2.400","2.400","1.968","1.968","1.968","1.968","1.968","1.968","1.968","2.016","3.360","3.360","4.800","4.800","4.800","4.800","2.700","2.800","1.400","1.400","1.400","2.800","4.200","4.200","4.200","4.200"
"Canudos do Vale","4304614","-29.318700000000","-52.234499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","12","12","12","1","5","5","5","5","5","5","2","3","-","-","-","-","-","-","-","-"
"Cap�o Bonito do Sul","4304622","-29.764199999990","-50.028199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o da Canoa","4304630","-29.639700000000","-49.959899999990","...","...","...","...","...","...","...","...","...","168","176","400","400","1.440","1.368","1.440","1.400","1.125","1.150","1.150","1.150","1.150","1.150","1.150","1.150","645","690","621","690","690","2.340","2.250","2.250","2.250","1.950","1.950","1.500","750","-","-","-","30","288","288","900","975","-","-"
"Cap�o do Cip�","4304655","-28.904000000000","-54.700000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","500","200","200","240","152","123","131","114","39","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o do Le�o","4304663","-31.756499999990","-52.488900000000","...","...","...","...","...","...","...","...","...","16.532","19.631","19.631","19.631","30.800","27.500","23.375","22.500","30.000","48.000","48.000","45.600","45.600","40.983","45.600","32.053","48.088","32.661","51.084","42.584","42.605","53.169","42.818","48.388","53.519","55.753","61.833","51.078","68.068","53.559","60.097","61.480","61.979","47.472","68.598","58.449","57.033","59.746","65.680"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.805","5.040","4.284","5.040","5.040","5.040","5.040","2.340","7.000","6.500","3.750","3.750","3.750","3.750","3.750","3.750","3.000","4.750","4.750","4.750","4.750","4.750","4.750","9.000","11.700","11.700","11.700","11.700","13.500","11.700","12.025","13.875","15.910"
"Capit�o","4304697","-29.267399999990","-51.985300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","14","14","14","6","14","7","7","7","7","1","1","1","1","3","3","3","2","2","2","1","2","-","-","-","-","-","-","-","-"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","28.764","28.700","52.463","52.844","52.844","55.625","56.890","77.275","86.535","77.701","81.335","80.799","81.304","96.261","93.150","96.050","108.194","94.690","98.648","101.864","112.919","89.217","62.183","74.877","87.511"
"Cara�","4304713","-29.786899999990","-50.431600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.205","474","474","474","446","446","446","942","838","838","884","952","1.020","750","1.388","1.372","1.419","1.614","2.176","2.176","2.176","2.196","2.183","2.178","2.179"
"Carazinho","4304705","-28.295800000000","-52.793300000000","150","234","260","200","100","150","270","451","570","600","800","900","400","1.132","326","755","866","6","1.239","735","510","630","198","540","540","225","150","75","15","15","8","2","9","9","9","6","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","54","108","210","275","172","100","216","216","108","72","98","82","25","39","27","36","35","5","47","48","49","49","31","23","13","11","9","9","9","9","9","3","9","7","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","70","70","38","15","14","14","17","17","10","26","17","-","8","9","7","7","3","8","8","8","3","3","3","3","4","6","4","2"
"Casca","4304903","-28.560500000000","-51.981499999990","408","438","420","180","48","20","228","522","138","307","512","412","299","431","326","433","429","9","560","294","160","150","35","27","36","36","36","36","36","54","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caseiros","4304952","-28.258199999990","-51.686100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","180","195","35","195","195","195","195","64","47","47","47","47","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Catu�pe","4305009","-28.255400000000","-54.013199999990","144","395","383","450","400","230","654","254","289","252","270","270","180","110","45","120","140","70","510","450","975","350","320","1.740","800","700","660","1.410","1.248","260","143","15","18","20","10","8","8","8","-","-","-","-","-","-","-","-","-","-"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","600","420","595","420","420","480","480","180","86","50","50","50","96","136","122","160","160","40","90","90","36","36","7","32","32","24","16","5","5","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Centen�rio","4305116","-27.761600000000","-51.998399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","174","174","174","77","56","36","63","63","60","30","75","14","-","5","7","10","10","6","9","7","9","9","20","13","15","10","12","9","6"
"Cerrito","4305124","-31.841899999990","-52.800400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.400","1.600","4.400","3.760","4.560","3.760","4.560","4.848","3.120","4.263","4.550","3.469","7.427","8.162","9.077","7.389","6.695","4.633","5.575","1.091","2.145","1.785","1.192","910","1.870"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4.591","3.615","2.583","3.996","6.365","5.826","6.120","6.120","5.805","5.640","6.975","6.875","7.250","5.688","5.004","5.755","5.412","6.160","6.160","5.951","6.738","5.306","7.528","5.679","6.863","6.119","7.030","7.000","7.500","8.625","7.655","6.563","8.187"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","112","188","74","256","256","256","256","22","190","118","118","118","118","118","118","48","33","35","35","35","35","-","-","-","-","-","-","-","-","-","-","-","-"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.506","2.805","3.156","3.031","3.258","3.323","3.583","3.299","3.583","2.515","3.758","3.758","3.384","3.759","3.009","3.904","4.257","4.259","4.082","4.823","4.822","4.229","4.600","4.600","4.600","4.852","4.852","4.528","4.906","4.906","3.000","3.575","4.976"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","60","139","132","144","105","36","120","119","66","83","106","151","205","225","144","216","300","72","375","88","25","25","16","-","10","16","16","10","0","-","0","6","13","13","8","6","-","-","-","-","-","-","-","-","-","-","-","-"
"Chapada","4305306","-28.055900000000","-53.066499999990","225","450","450","486","210","60","600","398","330","330","450","135","150","360","250","300","400","20","600","540","600","600","65","600","600","300","300","300","240","240","240","128","160","160","160","160","45","16","9","9","9","9","4","4","4","4","2","-"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","...","...","...","...","...","...","...","...","...","324","860","875","1.409","1.688","1.320","1.400","1.050","1.320","1.200","1.200","1.320","1.200","14.600","13.000","13.000","15.500","18.750","15.675","-","19.200","17.100","18.000","17.050","17.050","17.600","25.200","26.000","30.800","29.068","33.230","32.160","33.600","35.190","34.588","37.200","29.889","27.750","29.250"
"Charrua","4305371","-27.949300000000","-52.015000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","38","38","37","26","16","16","16","16","16","16","16","-","22","22","6","12","12","12","6","6","4","-","-","-","-","-","-","-"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","40","60","60","120","108","25","100","75","50","260","692","463","465","1.152","364","134","210","114","174","405","1.420","1.716","1.125","1.560","1.205","1.165","1.032","1.480","440","260","260","98","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Chu�","4305439","-33.686599999990","-53.459400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15.065","12.373","12.393","12.474","18.902","9.200","12.500","15.530","16.500","14.181","26.187","24.009","24.792","23.419","28.397","20.728","22.522","29.200","30.456","36.310","31.591","24.897","28.437","29.063","28.017"
